Formula,hse,PBE/$σ_{max}^{GSv}$,(PBE+$σ_{min}^{EN}$)-($σ_{max}^{RCORE}$-PBE),$PBE^{5/6}$,PBE*$σ_{max}^{RCOV}$/($σ_{max}^{GSv}$+$σ_{max}^{RCOV}$)
Al2O2,2.138341,1.499180825,2.9125,1.2443793440000002,1.144166424
Cl6Re2,1.5649309999999998,1.379101269,2.5575,1.228405186,1.032115259
Cl2N2Ti2,1.636671,1.403752429,2.4666669999999997,1.220402534,1.101369942
Al1As1,2.194458,1.378529876,2.4375,1.220402534,1.073301903
Cd1Te1,1.967127,1.3286844359999999,2.3175,1.212389373,1.014973238
Mn2Se2,2.151554,1.359652778,2.395,1.212389373,1.06196944
Pt1Se2,1.951036,1.3389756940000002,2.33,1.204365605,1.027960526
In2Te2,1.8824439999999998,1.319757406,1.92,1.204365605,1.0041675270000001
O2Pb1,2.3266430000000002,1.443137673,2.981667,1.196331132,1.039802425
Br2In2Se2,2.008947,1.342211665,2.2566669999999998,1.196331132,1.026825279
Au2Se2,1.7943259999999999,1.361751543,2.5025,1.196331132,1.041501976
Br2N2Ti2,1.627872,1.3348643390000001,2.364445,1.188285852,1.0386320390000001
Ge2P2,1.9766080000000001,1.331367094,2.34,1.180229663,1.023740429
Cl6Ru2,1.970102,1.295356669,2.435,1.164084139,0.967608055
C6N8,2.802101,1.401201855,2.957857,1.164084139,0.9933687929999999
Br4Ir2,2.1088240000000003,1.2719436720000001,2.333333,1.155994589,0.955311751
As1Ga1,2.093156,1.297059752,2.0775,1.155994589,1.006970695
S2Zr1,2.02624,1.264874354,2.195,1.155994589,0.955371095
Cl6Cr2,3.251363,1.280190155,2.3475,1.155994589,0.959544655
Bi2Cl2Se2,1.967929,1.2507111929999999,2.178889,1.1316574609999999,0.9487703829999999
C2O6V1,2.5822700000000003,1.353722675,2.3203709999999997,1.1316574609999999,1.019372878
Cl2Ir2O2,1.937993,1.2988985640000001,2.431111,1.1316574609999999,0.98829288
Bi2I2Se2,1.8621450000000002,1.2249912570000001,2.123333,1.1316574609999999,0.8987775859999999
